INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT
编号	NPC名称	场景名称	坐标X	坐标Z	NPC描述	师门第1阶段	师门第2阶段	师门第3阶段	师门第4阶段	师门第5阶段
"#此行不读,只是为了lua脚本方便查找!, 不要修改! 删除!"						0	1	2	3	4
200001	蔡卞	洛阳的	158	32	西京枢密使	1	1	1	1	1
200002	赵明诚	洛阳的	228	175	洛阳漕运使	1	1	1	1	1
200003	月老	洛阳的	46	62	结婚	1	1	1	1	1
200004	花仙	洛阳的	46	61	结婚	1	1	1	1	1
200005	蔡京	洛阳的	126	96	西京留守	1	1	1	1	1
200006	刘光世	洛阳的	157	35	枢密院院士	1	1	1	1	1
200007	苏辙	洛阳的	162	34	枢密院院士	1	1	1	1	1
200008	高俅	洛阳的	199	59		0	1	1	1	1
200009	蔡丙臣	洛阳的	125	97		0	1	1	1	1
200010	童贯	洛阳的	204	57		0	1	1	1	1
200011	吕惠卿	洛阳的	109	210		0	1	1	1	1
200012	章惇	洛阳的	200	103	丞相	1	1	1	1	1
200013	程颢	洛阳的	88	205		0	1	1	1	1
200014	程颐	洛阳的	85	208		0	1	1	1	1
200015	程安	洛阳的	98	205	程府管家	1	1	1	1	1
200016	游酢	洛阳的	106	200		0	1	1	1	1
200017	杨时	洛阳的	107	203		0	1	1	1	1
200018	毕昇	洛阳的	90	208		0	1	1	1	1
200019	怀丙	洛阳的	232	181		0	1	1	1	1
200020	阿紫	洛阳的	59	83		0	1	1	1	1
200021	游坦之	洛阳的	57	82		0	1	1	1	1
200022	康敏	洛阳的	230	215	马夫人	1	1	1	1	1
200023	巴天石	洛阳的	113	75	大理司空	1	1	1	1	1
200024	智光	洛阳的	77	72		0	1	1	1	1
200025	徐惊雷	洛阳的	210	201	丐帮长老	1	1	1	1	1
200026	单正	洛阳的	230	176	铁面判官	1	1	1	1	1
200027	谭公	洛阳的	180	213		0	1	1	1	1
200028	谭婆	洛阳的	179	212		0	1	1	1	1
200029	赵钱孙	洛阳的	86	89		0	1	1	1	1
200030	宗赞	洛阳的	121	55	吐蕃王子	1	1	1	1	1
200031	宗喀达	洛阳的	120	54		0	1	1	1	1
200032	宗喀班	洛阳的	112	51		0	1	1	1	1
200033	李妈妈	洛阳的	249	111		0	1	1	1	1
200034	李师师	洛阳的	253	112		0	1	1	1	1
200035	春儿	洛阳的	221	200		0	1	1	1	1
200036	金左焕	洛阳的	109	73	高丽特使	1	1	1	1	1
200037	朴明善	洛阳的	112	72	高丽画师	1	1	1	1	1
200038	闵政浩	洛阳的	0	0	高丽医师	1	1	1	1	1
200039	藤原佐为	洛阳的	121	73	日本特使	1	1	1	1	1
200040	北条司	洛阳的	122	74	日本副使	1	1	1	1	1
200041	武田信玄	洛阳的	120	63	日本副使	1	1	1	1	1
200042	范纯仁	洛阳的	173	61	帮派创建人	1	1	1	1	1
200043	耶律大石	洛阳的	118	62		0	1	1	1	1
200044	萧奉先	洛阳的	110	52		0	1	1	1	1
200045	赫连铁树	洛阳的	113	63		0	1	1	1	1
200046	努儿海	洛阳的	112	64		0	1	1	1	1
200047	燕青	洛阳的	111	211		0	1	1	1	1
200048	甄唯思	洛阳的	182	183	防具店老板	1	1	1	1	1
200049	乔复盛	洛阳的	225	152	商会老板	1	1	1	1	1
