INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装件数	Name(名称)	Lv(需求等级)	Desc(说明)	基本价格	Max耐久	修理失败上限	镶嵌宝石上限	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	电攻击	电抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体制	定力	身法	悟性	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	基础物理攻击下限	基础物理攻击上限	基础魔法攻击下限	基础魔法攻击上限	基础攻击速度下限(废弃)	基础攻击速度上限(废弃)	基础物理防御下限	基础物理防御上限	基础魔法防御下限	基础魔法防御上限	基础闪避下限	基础闪避上限	图标
10200001	1	2	0	1	0	66	1	-1	-1	柳叶刀	10	10级标准，大刀类	192	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_12
10200002	1	2	0	2	0	71	1	-1	-1	宿铁刀	20	20级标准，大刀类	240	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7
10200003	1	2	0	3	0	76	1	-1	-1	鬼眼法刀	30	30级标准，大刀类	336	70	7	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_16
10200004	1	2	0	4	0	81	1	-1	-1	七星宝刀	40	40级标准，大刀类	432	70	7	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword4_8
10200005	1	2	0	5	0	86	1	-1	-1	妖刀蚀月	50	50级标准，大刀类	624	80	8	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_4
10200006	1	2	0	6	0	91	1	-1	-1	寻荒古刀	60	60级标准，大刀类	816	80	8	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword4_3
10200007	1	2	0	7	0	96	1	-1	-1	大刀鹏翼	70	70级标准，大刀类	1056	90	9	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_1
10200008	1	2	0	8	0	101	1	-1	-1	龙骨宝刀	80	80级标准，大刀类	1344	90	9	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_12
10200009	1	2	0	9	0	106	1	-1	-1	狂刀吞天	90	90级标准，大刀类	1776	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword4_11
