INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	Scale(价格系数)	Time(刷新时间)	Num(商品数量)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)
1	1	100000	12	10100001	1	-1	10100002	1	-1	10101001	1	-1	10101002	1	-1	10102001	1	-1	10102002	1	-1	10103001	1	-1	10103002	1	-1	10104001	1	-1	10104002	1	-1	10105001	1	-1	10105002	1	-1	20308001	20	-1	20308002	10	-1	20308011	10	-1	20308012	10	-1	30300001	1	-1	30300003	1	-1	30300005	1	-1	30300011	1	-1	30300013	1	-1	30300015	1	-1	30300021	1	-1	30300023	1	-1	30300025	1	-1	30300031	1	-1	30300033	1	-1	30300035	1	-1	30300041	1	-1	30300043	1	-1	30300045	1	-1	30300051	1	-1	30300053	1	-1	30300055	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
2	1	100000	20	10110001	1	-1	10110002	1	-1	10110003	1	-1	10110004	1	-1	10110005	1	-1	10111001	1	-1	10111002	1	-1	10111003	1	-1	10111004	1	-1	10111005	1	-1	10112001	1	-1	10112002	1	-1	10112003	1	-1	10112004	1	-1	10112005	1	-1	10113001	1	-1	10113002	1	-1	10113003	1	-1	10113004	1	-1	10113005	1	-1	30301001	1	-1	30301002	1	-1	30301003	1	-1	30301004	1	-1	30301005	1	-1	30301006	1	-1	30301007	1	-1	30301008	1	-1	30301013	1	-1	30301014	1	-1	30301015	1	-1	30301016	1	-1	30301021	1	-1	30301022	1	-1	30301023	1	-1	30301024	1	-1	30301029	1	-1	30301030	1	-1	30301031	1	-1	30301032	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
3	1	100000	6	10120001	1	-1	10120002	1	-1	10121001	1	-1	10121002	1	-1	10122101	1	-1	10122102	1	-1	30302001	1	-1	30302002	1	-1	30302003	1	-1	30302004	1	-1	30302011	1	-1	30302012	1	-1	30302013	1	-1	30302014	1	-1	30302021	1	-1	30302022	1	-1	30302023	1	-1	30302024	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
4	1	100000	16	30001001	10	-1	30001002	10	-1	30002001	10	-1	30002002	10	-1	30003001	10	-1	30003002	10	-1	30004001	10	-1	30004006	10	-1	30004011	10	-1	30004016	10	-1	30004021	10	-1	30005001	10	-1	30005006	10	-1	30005011	10	-1	30005014	10	-1	30005017	10	-1	30303001	1	-1	30303002	1	-1	30303003	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	30303012	1	-1	30303013	1	-1	30303014	1	-1	30303015	1	-1	30303038	1	-1	30303043	1	-1	30303044	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
5	1	100000	9	30101001	20	-1	30101002	20	-1	30101013	20	-1	30101014	20	-1	30102001	20	-1	30102005	20	-1	30102009	20	-1	30102013	20	-1	30102017	20	-1	30304001	1	-1	30304002	1	-1	30304003	1	-1	30304004	1	-1	30304005	1	-1	30304010	1	-1	30304015	1	-1	30304020	1	-1	30304021	1	-1	30304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
6	1	100000	16	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301001	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
7	1	3600000	9	30602001	10	20	30602002	10	20	30603001	10	20	30603002	10	20	30604001	10	20	30604002	10	20	30605001	10	20	30605002	10	20	30601001	10	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
8	1	3600000	10	20101001	10	20	20005002	10	20	20005003	10	20	20005004	10	20	20005005	10	20	20103001	10	20	20103002	10	20	20104001	10	20	20104002	10	20	20105001	10	20	20105002	10	20	20304005	10	20	20304006	10	20	20107001	10	20	20107002	10	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
11	1	100000	12	10100002	1	-1	10100003	1	-1	10101002	1	-1	10101003	1	-1	10102002	1	-1	10102003	1	-1	10103002	1	-1	10103003	1	-1	10104002	1	-1	10104003	1	-1	10105002	1	-1	10105003	1	-1	30300001	1	-1	30300003	1	-1	30300005	1	-1	30300011	1	-1	30300013	1	-1	30300015	1	-1	30300021	1	-1	30300023	1	-1	30300025	1	-1	30300031	1	-1	30300033	1	-1	30300035	1	-1	30300041	1	-1	30300043	1	-1	30300045	1	-1	30300051	1	-1	30300053	1	-1	30300055	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
